FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
二仙桥北路3号(二仙桥北路与二仙桥北二路交叉路口西南50米处）,交大归谷建设派,http://cd.fang.lianjia.com/loupan/p_jdggjspabbkk/, 50000
黑龙滩风景区与省道106线交汇处,黑龙滩国际社区,http://cd.fang.lianjia.com/loupan/p_hltgjsqabdrs/, 12000
郫县郫筒镇杜鹃路政府旁,重百汉正广场,http://cd.fang.lianjia.com/loupan/p_cbhzgcabfea/, 30000
永丰路7号（衣冠庙地铁口B出口）,和雅嘉御,http://cd.fang.lianjia.com/loupan/p_hzzxabdwj/, 23000
万科路东段荣盛紫提东郡,荣盛紫提东郡,http://cd.fang.lianjia.com/loupan/p_rsztdjabfat/, 30000
永兴路1118号（永兴路与柳林路交叉口）,光华瑞廷,http://cd.fang.lianjia.com/loupan/p_ghrtabgko/, 40000
望丛东路478号,蜀都万达广场,http://cd.fang.lianjia.com/loupan/p_sdwdgcabfld/, 38000
日月大道与武青北路交汇处,成都青羊万达广场,http://cd.fang.lianjia.com/loupan/p_cdqywdgcabgmi/, 50000
杉板桥南五路199号（蓝光东方天地旁）,华都云景台,http://cd.fang.lianjia.com/loupan/p_hdyjtabdio/, 50000
红光镇红光广场路四段216号（技师学院旁）,宇众悦城,http://cd.fang.lianjia.com/loupan/p_yzycabbjz/, 22000
金河路与西安路交汇处（凤翔湖旁）,北大资源公园1898,http://cd.fang.lianjia.com/loupan/p_bdzygyabbhj/, 30000
长青路88号,金美国际,http://cd.fang.lianjia.com/loupan/p_jmgjabbld/, 36000
双流东升镇一杆旗北路29号,满座,http://cd.fang.lianjia.com/loupan/p_mzabfro/, 31000
峨眉山市绥山镇佛光南路,山水峨眉,http://cd.fang.lianjia.com/loupan/p_ssemabexp/, 200
东升镇航都大道与商都路交汇处(陶家院子旁),北大资源燕楠国际,http://cd.fang.lianjia.com/loupan/p_bdzyyngjabbhx/, 29000
驿都西路3666号,炜岸城二期,http://cd.fang.lianjia.com/loupan/p_waceqabfli/, 700
福锦路一段669号,中筑西府兰庭,http://cd.fang.lianjia.com/loupan/p_zzxfltabesh/, 20000
温泉大道177号（新城西站附近）,洲际春天广场,http://cd.fang.lianjia.com/loupan/p_zjctgcabcec/, 30000
东丽街与东紫路交汇处（动物园东大门）,青龙广场,http://cd.fang.lianjia.com/loupan/p_qlgcabcel/, 30000
新都蜀龙大道三河场段（保利公园198旁）,莱茵北郡三期,http://cd.fang.lianjia.com/loupan/p_lybjsqabgik/, 20000
金科南路（地铁2号线金科北路A出口500米）,保利国宾首府,http://cd.fang.lianjia.com/loupan/p_blgbsfabfqy/, 30000
光华大道同兴东路,佳兆业丽晶公馆,http://cd.fang.lianjia.com/loupan/p_jzyljggabflq/, 26000
大观镇高尔夫大街369号,御青城,http://cd.fang.lianjia.com/loupan/p_qcyabgry/, 17000
福锦路一段669号,中筑西府兰庭,http://cd.fang.lianjia.com/loupan/p_zzxfltabbin/, 42000
驿都大道北海亮彩悦府,海亮彩悦府,http://cd.fang.lianjia.com/loupan/p_hlcyfabbiw/, 40000
蜀都新城 创智公园南四路100号（创智公园正对面）,海骏达蜀都1号三期,http://cd.fang.lianjia.com/loupan/p_hjdsdsqabgjj/, 40000
